,District,Headquarters,Population(2011),Males,Females,Percentagedecadalgrowth2001–2011,Sex ratio,Density(personsperkm2),Childpopulation0–6 years,Childsexratio,Literacy rate,id,lon_c,lat_c
0,Angul,Angul,1271703,654898,616805,11.55,942,199,145690,884,78.96,16084,84.90418595,20.98316011
1,Balangir,Balangir,1648574,831349,817225,23.29,983,251,206964,951,65.5,16085,83.16839262,20.58812095
2,Balasore,Baleswar,2317419,1184371,1133048,14.47,957,609,274432,941,80.66,16086,86.90547001,21.48737626
3,Bargarh,Bargarh,1478833,748332,730501,9.84,976,253,156185,946,75.16,16087,83.34883807,21.22068317
4,Bhadrak,Bhadrak,1506522,760591,745931,12.95,981,601,176793,931,83.25,16088,86.61598132,20.97818325
5,Boudh,Boudh,439917,220993,218924,17.82,991,142,59094,975,72.51,16089,84.16888408,20.64285534
6,Cuttack,Cuttack,2618708,1339153,1279555,11.87,955,666,251152,913,84.2,16090,85.69852444,20.44146996
7,Deogarh,Debagarh,312164,158017,154147,13.88,976,106,38621,917,73.07,16091,84.7952157,21.46486932
8,Dhenkanal,Dhenkanal,1192948,612597,580351,11.82,947,268,132647,870,79.41,16092,85.52043195,20.81857922
9,Gajapati,Paralakhemundi,575880,282041,293839,10.99,1042,133,82777,964,54.29,16093,84.155416,19.16378639
10,Ganjam,Chhatrapur,3520151,1777324,1742827,11.37,981,429,397920,899,71.88,16094,84.65963999,19.61793542
11,Jagatsinghpur,Jagatsinghpur,1136604,577699,558905,7.44,967,681,103517,929,87.13,16095,86.33035303,20.21790817
12,Jajpur,Jajpur,1826275,926058,900217,12.43,972,630,207310,921,80.44,16096,86.15061984,20.84520792
13,Jharsuguda,Jharsuguda,579499,297014,282485,12.56,951,274,61823,938,78.36,16097,83.95199945,21.80476715
14,Kalahandi,Bhawanipatna,1573054,785179,787875,17.79,1003,199,214111,947,60.22,16098,83.1002789,19.86143481
15,Kandhamal,Phulbani,731952,359401,372551,12.92,1037,91,106379,960,65.12,16099,84.0426121,20.12427173
16,Kendrapara,Kendrapara,1439891,717695,722196,10.59,1006,545,153443,921,85.93,16100,86.60402795,20.54542287
17,Keonjhar,Kendujhar,1802777,907135,895642,15.42,987,217,253418,957,69,16101,85.69744392,21.53413914
18,Khordha,Khordha,2246341,1166949,1079392,19.65,925,799,222275,910,87.51,16102,85.50743887,20.08573411
19,Koraput,Koraput,1376934,677864,699070,16.63,1031,156,215518,970,49.87,16103,82.7043884,18.81161273
20,Malkangiri,Malkangiri,612727,303913,308814,21.53,1016,106,105636,979,49.49,16104,81.9434222,18.25032017
21,Mayurbhanj,Baripada,2513895,1253633,1260262,13.06,1005,241,337757,952,63.98,16105,86.40797723,21.88901751
22,Nabarangpur,Nabarangpur,1218762,604046,614716,18.81,1018,230,201901,988,48.2,16106,82.32885643,19.58536676
23,Nayagarh,Nayagarh,962215,502194,460021,11.3,916,247,101337,851,79.17,16107,84.98760614,20.20728624
24,Nuapada,Nuapada,606490,300307,306183,14.28,1020,157,84893,971,58.2,16108,82.56931852,20.46165599
25,Puri,Puri,1697983,865209,832774,13,963,488,164388,924,85.37,16109,85.69924274,19.86425569
26,Rayagada,Rayagada,961959,469672,492287,15.74,1048,136,141167,955,50.88,16110,83.50669435,19.35522851
27,Sambalpur,Sambalpur,1044410,529424,514986,12.24,973,158,112946,931,76.91,16111,84.27540455,21.44666112
28,Subarnapur,Sonepur,652107,332897,319210,20.35,959,279,76536,947,74.42,16112,83.81988564,20.92683655
29,Sundargarh,Sundergarh,2080664,1055723,1024941,13.66,971,214,249020,937,74.13,16113,84.50395713,22.07779944
